study_hours,attendance,assignments_completed,previous_score,pass
4.1,56.4,6.0,51.0,0
4.0,52.5,7.0,38.0,0
9.7,89.0,10.0,34.0,1
4.7,66.7,4.0,49.0,1
3.5,67.0,8.0,94.0,1
2.9,74.7,10.0,56.0,1
9.7,53.0,10.0,56.0,1
9.5,55.5,10.0,86.0,1
2.1,57.4,9.0,89.0,1
7.7,59.8,7.0,34.0,1
2.1,65.9,2.0,43.0,0
1.6,65.2,5.0,66.0,0
5.0,64.9,3.0,57.0,1
9.5,88.6,3.0,79.0,1
8.4,94.8,6.0,30.0,1
6.8,69.3,5.0,77.0,1
7.5,86.4,3.0,30.0,1
2.4,77.8,7.0,59.0,1
1.3,79.7,2.0,71.0,0
8.0,82.1,5.0,82.0,1
8.9,90.1,8.0,36.0,1
2.6,78.9,4.0,41.0,0
6.3,70.3,6.0,40.0,1
5.5,52.8,7.0,76.0,1
1.2,74.1,2.0,36.0,0
7.5,58.2,6.0,40.0,1
3.6,60.0,7.0,46.0,0
4.7,92.9,1.0,70.0,1
9.0,59.2,7.0,85.0,1
3.2,56.4,2.0,44.0,0
10.0,78.0,0.0,86.0,1
6.0,61.6,2.0,93.0,1
1.1,54.3,0.0,52.0,0
2.4,93.7,0.0,47.0,0
2.3,71.0,8.0,70.0,1
7.0,84.5,0.0,46.0,1
4.2,66.0,8.0,56.0,1
4.1,91.0,,47.0,1
5.4,85.8,8.0,75.0,1
3.2,70.6,10.0,69.0,1
6.8,62.0,9.0,42.0,1
8.4,61.0,3.0,72.0,1
3.1,83.7,7.0,87.0,1
6.4,54.9,9.0,31.0,1
1.4,86.8,10.0,65.0,1
1.9,89.7,9.0,39.0,1
4.9,61.2,1.0,93.0,1
1.3,68.2,6.0,92.0,1
8.4,69.1,9.0,90.0,1
6.4,84.5,1.0,52.0,1
2.2,57.5,4.0,34.0,0
6.9,59.9,8.0,41.0,1
3.7,68.0,8.0,63.0,1
1.6,94.9,2.0,46.0,0
1.2,96.4,4.0,55.0,0
4.0,63.0,2.0,40.0,0
9.7,73.9,7.0,64.0,1
2.8,77.3,2.0,91.0,1
6.7,85.4,4.0,36.0,1
8.7,87.1,1.0,52.0,1
7.9,72.3,6.0,61.0,1
1.1,93.6,4.0,32.0,0
6.9,51.3,9.0,77.0,1
9.7,61.9,7.0,83.0,1
4.9,72.9,3.0,86.0,1
7.9,57.9,3.0,34.0,1
1.5,87.3,0.0,36.0,0
9.6,93.9,8.0,88.0,1
7.0,99.0,4.0,68.0,1
5.6,61.7,10.0,85.0,1
8.5,68.3,10.0,40.0,1
2.1,95.1,7.0,45.0,1
1.8,83.6,6.0,56.0,0
6.2,78.9,6.0,51.0,1
3.8,55.9,8.0,57.0,1
5.8,91.3,3.0,67.0,1
4.5,51.7,,40.0,0
2.1,91.0,7.0,95.0,1
3.3,62.2,6.0,,1
3.0,90.6,9.0,38.0,1
8.3,55.7,5.0,88.0,1
10.0,95.1,3.0,71.0,1
9.0,72.0,1.0,89.0,1
6.0,91.2,5.0,79.0,1
1.7,64.3,10.0,,1
10.0,63.0,10.0,47.0,1
8.6,90.6,6.0,31.0,1
3.1,73.0,5.0,80.0,1
3.4,80.7,9.0,76.0,1
6.2,90.7,5.0,55.0,1
4.3,66.9,8.0,150.0,1
5.0,91.6,,54.0,1
1.8,81.3,0.0,74.0,0
7.6,50.8,9.0,46.0,1
7.4,79.1,0.0,33.0,1
5.6,74.3,3.0,33.0,1
7.3,58.1,5.0,67.0,1
8.9,97.0,10.0,65.0,1
7.5,52.5,5.0,46.0,1
6.5,81.5,5.0,36.0,1
6.2,69.0,0.0,35.0,0
3.6,59.2,0.0,75.0,0
1.0,84.8,6.0,80.0,1
4.6,59.2,10.0,78.0,1
8.4,76.5,9.0,51.0,1
5.5,77.8,0.0,59.0,1
3.4,79.5,7.0,93.0,1
5.2,97.4,3.0,76.0,1
3.7,99.3,5.0,66.0,1
7.3,50.7,7.0,89.0,1
6.0,73.8,9.0,51.0,1
5.7,51.4,4.0,54.0,1
6.4,56.4,8.0,51.0,1
5.6,55.8,9.0,55.0,1
5.4,84.1,1.0,47.0,1
5.2,97.4,3.0,76.0,1
6.1,75.9,8.0,42.0,1
6.2,74.9,8.0,44.0,1
6.1,72.3,3.0,72.0,1
8.2,83.2,7.0,80.0,1
2.4,62.2,1.0,53.0,0
1.1,52.8,10.0,60.0,0
4.6,93.2,1.0,31.0,1
6.2,69.5,3.0,44.0,1
,73.7,7.0,64.0,1
3.5,82.2,9.0,41.0,1
5.4,60.4,10.0,74.0,1
6.4,67.9,1.0,57.0,1
2.6,88.6,3.0,77.0,1
5.9,51.0,9.0,61.0,1
8.7,69.1,3.0,48.0,1
7.3,98.7,3.0,89.0,1
3.6,83.9,9.0,33.0,1
5.7,77.2,4.0,83.0,1
5.8,69.2,5.0,49.0,1
6.4,63.3,4.0,83.0,1
3.1,77.7,3.0,38.0,0
7.3,90.6,1.0,77.0,1
8.7,75.2,8.0,42.0,1
8.0,57.2,3.0,86.0,1
3.2,72.4,7.0,91.0,1
6.3,73.8,5.0,60.0,1
5.4,61.2,10.0,95.0,1
4.9,61.4,7.0,58.0,1
8.2,70.2,7.0,73.0,1
6.4,77.8,8.0,79.0,1
9.3,58.2,2.0,73.0,1
9.2,53.5,2.0,73.0,1
3.7,73.7,8.0,45.0,1
1.8,59.5,1.0,48.0,0
5.7,84.0,9.0,51.0,1
9.2,62.3,,52.0,1
2.9,75.9,8.0,48.0,1
1.4,98.2,6.0,51.0,1
8.3,88.0,9.0,46.0,1
5.7,90.7,1.0,30.0,1
4.5,82.3,6.0,45.0,1
5.0,52.5,,47.0,1
2.9,91.5,7.0,77.0,1
6.2,84.2,6.0,34.0,1
9.6,84.0,4.0,84.0,1
2.9,53.1,10.0,53.0,1
9.6,67.9,1.0,92.0,1
4.9,60.0,6.0,90.0,1
9.2,79.5,7.0,38.0,1
6.3,90.9,8.0,41.0,1
7.2,90.3,6.0,50.0,1
6.4,88.9,5.0,90.0,1
2.9,77.3,9.0,86.0,1
9.1,88.9,1.0,73.0,1
5.1,86.8,9.0,74.0,1
3.5,90.5,0.0,55.0,0
9.8,77.3,10.0,55.0,1
9.5,56.1,1.0,62.0,1
6.2,77.6,9.0,81.0,1
1.9,95.1,3.0,68.0,1
2.5,52.3,5.0,43.0,0
7.2,60.6,8.0,94.0,1
6.5,53.7,9.0,70.0,1
1.5,58.4,3.0,70.0,0
2.8,77.7,1.0,93.0,1
3.8,87.7,4.0,30.0,1
6.5,83.2,0.0,83.0,1
3.3,95.8,10.0,46.0,1
5.3,95.6,4.0,30.0,1
4.6,97.5,2.0,52.0,1
7.7,73.2,0.0,62.0,1
7.6,56.2,2.0,34.0,1
1.3,64.5,7.0,42.0,0
8.7,81.5,2.0,35.0,1
,58.0,10.0,91.0,1
5.4,87.3,2.0,70.0,1
,65.4,1.0,77.0,1
7.5,67.5,2.0,81.0,1
4.5,61.8,2.0,42.0,0
3.4,68.4,9.0,55.0,1
1.5,93.5,3.0,94.0,1
9.7,66.5,1.0,69.0,1
9.8,91.0,6.0,43.0,1
7.9,86.5,6.0,88.0,1
4.5,53.8,1.0,37.0,0
5.6,,9.0,71.0,1
6.1,65.2,1.0,,1
7.4,55.5,1.0,36.0,1
3.8,73.4,5.0,60.0,1
2.9,60.2,10.0,53.0,1
3.8,63.7,4.0,150.0,0
1.8,54.8,4.0,69.0,0
8.0,51.0,-3.0,79.0,1
4.4,87.2,3.0,30.0,1
5.5,78.8,2.0,82.0,1
1.5,54.9,10.0,41.0,0
1.2,54.9,5.0,72.0,0
2.6,98.3,6.0,85.0,1
6.9,85.0,8.0,40.0,1
3.8,88.0,0.0,86.0,1
2.0,89.6,10.0,46.0,1
4.1,86.3,7.0,83.0,1
9.9,57.0,1.0,55.0,1
10.0,74.8,3.0,86.0,1
1.5,79.6,5.0,60.0,0
3.4,57.6,8.0,69.0,1
9.5,56.6,1.0,77.0,1
7.5,54.8,7.0,87.0,1
8.6,54.0,2.0,79.0,1
3.6,54.6,9.0,57.0,1
5.9,91.5,9.0,73.0,1
1.3,84.3,2.0,49.0,0
1.6,81.1,2.0,54.0,0
8.8,87.1,7.0,81.0,1
5.3,71.5,0.0,64.0,1
5.2,75.2,3.0,60.0,1
9.8,67.0,8.0,63.0,1
1.5,72.8,1.0,57.0,0
8.7,83.4,9.0,55.0,1
7.3,60.0,3.0,57.0,1
1.6,87.8,9.0,45.0,1
8.2,54.0,10.0,63.0,1
7.3,69.0,7.0,34.0,1
2.5,70.5,6.0,87.0,1
5.5,92.9,1.0,65.0,1
3.8,60.3,7.0,,1
9.5,84.6,0.0,49.0,1
8.5,59.9,4.0,53.0,1
7.5,64.8,4.0,80.0,1
4.7,67.1,,82.0,1
7.5,98.2,3.0,41.0,1
5.4,,3.0,60.0,1
5.4,50.1,10.0,70.0,1
2.8,83.8,9.0,81.0,1
8.9,68.0,7.0,69.0,1
3.9,91.7,8.0,41.0,1
3.9,89.4,3.0,33.0,1
2.0,50.1,8.0,37.0,0
1.8,54.6,9.0,82.0,1
7.0,,7.0,64.0,1
8.7,68.4,4.0,36.0,1
2.0,84.7,1.0,48.0,0
7.1,90.5,5.0,33.0,1
5.3,54.0,3.0,70.0,1
6.1,66.9,2.0,82.0,1
8.6,78.4,8.0,35.0,1
3.2,54.9,2.0,34.0,0
4.7,59.5,7.0,32.0,1
2.0,83.0,7.0,77.0,1
6.4,94.4,2.0,35.0,1
6.6,65.1,3.0,41.0,1
7.2,91.3,6.0,65.0,1
1.0,95.2,1.0,76.0,0
8.0,82.3,10.0,57.0,1
8.0,92.7,2.0,84.0,1
2.9,53.3,2.0,80.0,0
7.5,90.0,5.0,50.0,1
4.4,78.8,0.0,57.0,0
5.5,63.8,8.0,52.0,1
1.6,50.9,4.0,55.0,0
2.5,71.2,1.0,69.0,0
9.8,68.2,10.0,64.0,1
4.8,71.5,9.0,66.0,1
6.4,52.3,5.0,72.0,1
9.6,68.4,8.0,70.0,1
4.3,81.5,5.0,47.0,1
3.6,80.9,0.0,54.0,0
4.7,66.9,10.0,56.0,1
8.4,78.2,10.0,68.0,1
6.2,54.7,1.0,59.0,1
6.8,64.2,6.0,87.0,1
3.5,99.2,7.0,54.0,1
4.9,76.3,6.0,83.0,1
3.8,59.8,4.0,46.0,0
2.8,50.9,5.0,56.0,0
9.5,81.5,7.0,87.0,1
8.6,81.9,10.0,65.0,1
4.2,51.2,4.0,92.0,1
3.6,55.3,10.0,61.0,1
7.5,91.1,9.0,77.0,1
3.0,61.9,5.0,95.0,1
9.0,60.2,9.0,90.0,1
7.8,76.2,6.0,57.0,1
7.6,54.0,6.0,35.0,1
4.4,58.0,8.0,81.0,1
4.9,99.3,0.0,91.0,1
1.2,74.4,8.0,63.0,0
1.7,91.9,1.0,88.0,0
7.3,53.8,0.0,48.0,1
9.0,75.7,8.0,64.0,1
5.5,85.7,10.0,76.0,1
10.0,80.9,4.0,54.0,1
1.5,97.1,8.0,73.0,1
1.6,65.4,0.0,58.0,0
5.4,72.0,8.0,91.0,1
5.9,63.4,6.0,83.0,1
4.2,80.5,9.0,70.0,1
7.6,54.2,6.0,52.0,1
2.5,72.6,6.0,46.0,0
8.4,67.0,7.0,79.0,1
1.8,64.8,3.0,77.0,0
1.9,60.3,4.0,47.0,0
8.3,50.3,8.0,77.0,1
2.2,62.5,10.0,48.0,0
8.7,59.8,2.0,77.0,1
6.5,94.9,9.0,33.0,1
8.1,89.7,0.0,37.0,1
8.2,71.3,5.0,62.0,1
1.6,80.0,0.0,66.0,0
8.7,57.8,3.0,150.0,1
6.9,89.2,5.0,49.0,1
7.6,98.2,5.0,30.0,1
1.0,72.2,3.0,37.0,0
7.4,75.6,-3.0,42.0,1
7.3,94.4,7.0,62.0,1
2.0,79.4,5.0,40.0,0
2.3,53.8,6.0,60.0,0
4.7,94.3,5.0,79.0,1
2.6,80.6,1.0,33.0,0
7.9,74.6,9.0,44.0,1
8.7,61.6,3.0,87.0,1
9.5,76.8,5.0,,1
1.6,54.3,1.0,71.0,0
9.3,60.9,3.0,68.0,1
9.1,63.8,3.0,37.0,1
5.6,55.4,9.0,93.0,1
2.7,77.9,9.0,48.0,1
9.8,66.7,9.0,61.0,1
6.3,84.9,8.0,60.0,1
9.5,54.1,6.0,73.0,1
8.7,93.3,0.0,37.0,1
,96.2,1.0,42.0,1
4.2,93.4,7.0,88.0,1
6.6,99.3,0.0,62.0,1
1.9,60.8,7.0,78.0,0
5.2,58.6,8.0,72.0,1
7.2,58.1,0.0,76.0,1
4.2,73.4,0.0,86.0,1
2.6,96.1,8.0,58.0,1
9.3,89.8,9.0,70.0,1
3.1,62.7,10.0,76.0,1
6.4,70.5,2.0,40.0,1
5.2,90.5,3.0,44.0,1
5.4,54.4,5.0,69.0,1
1.5,62.7,6.0,49.0,0
5.4,63.7,6.0,30.0,1
1.7,92.5,5.0,68.0,1
5.1,73.5,0.0,53.0,0
5.6,91.6,2.0,34.0,1
5.2,77.2,0.0,30.0,0
6.7,52.5,9.0,70.0,1
4.9,72.9,3.0,86.0,1
7.0,71.6,6.0,60.0,1
2.0,54.0,8.0,43.0,0
6.5,70.3,1.0,60.0,1
7.4,92.4,5.0,89.0,1
3.2,65.1,7.0,48.0,0
9.3,94.8,8.0,87.0,1
2.7,85.6,8.0,88.0,1
3.9,81.9,2.0,79.0,1
9.0,56.4,5.0,90.0,1
1.1,50.1,1.0,48.0,0
2.7,50.2,10.0,38.0,0
4.4,82.0,6.0,70.0,1
4.0,88.0,2.0,31.0,0
8.2,63.2,3.0,57.0,1
5.4,75.2,8.0,70.0,1
8.3,58.7,8.0,87.0,1
8.5,95.9,7.0,58.0,1
4.9,79.0,10.0,92.0,1
5.9,51.4,8.0,39.0,1
6.5,76.1,5.0,53.0,1
8.6,54.6,1.0,30.0,1
9.6,99.5,9.0,30.0,1
9.5,97.3,5.0,32.0,1
5.3,71.6,2.0,95.0,1
6.1,68.7,7.0,33.0,1
3.7,94.3,4.0,79.0,1
2.2,88.6,4.0,72.0,1
9.9,84.1,2.0,53.0,1
2.9,68.3,10.0,36.0,1
9.7,86.2,1.0,72.0,1
2.7,89.3,2.0,66.0,1
6.0,65.6,9.0,64.0,1
6.2,95.8,6.0,35.0,1
9.8,85.7,2.0,55.0,1
4.9,68.3,5.0,91.0,1
3.6,70.9,1.0,80.0,0
7.4,65.6,4.0,38.0,1
3.5,51.6,6.0,80.0,1
8.0,68.3,8.0,56.0,1
4.5,60.1,2.0,38.0,0
1.5,73.0,0.0,54.0,0
5.3,70.3,6.0,38.0,1
2.1,57.9,6.0,66.0,0
4.3,74.0,2.0,69.0,1
5.4,73.6,5.0,58.0,1
5.1,53.1,2.0,30.0,0
8.9,97.2,10.0,62.0,1
9.7,71.3,7.0,71.0,1
9.2,57.0,3.0,31.0,1
9.6,73.6,1.0,72.0,1
8.4,51.4,6.0,68.0,1
9.0,59.0,7.0,73.0,1
1.1,99.6,9.0,44.0,1
4.5,96.8,2.0,70.0,1
5.6,71.2,3.0,55.0,1
9.4,60.3,5.0,78.0,1
2.3,94.7,9.0,35.0,1
3.6,65.5,1.0,88.0,0
10.0,95.9,2.0,53.0,1
8.4,79.6,9.0,65.0,1
2.5,64.1,4.0,81.0,0
9.4,78.6,3.0,93.0,1
6.6,69.9,8.0,60.0,1
1.2,77.2,10.0,84.0,1
3.9,56.2,10.0,59.0,1
10.0,54.8,4.0,39.0,1
9.4,65.0,0.0,93.0,1
9.4,60.7,6.0,93.0,1
6.2,93.2,1.0,71.0,1
9.6,70.2,1.0,77.0,1
2.9,86.4,3.0,77.0,1
8.5,83.8,6.0,93.0,1
8.7,58.1,10.0,84.0,1
10.0,79.9,8.0,56.0,1
2.6,53.8,7.0,36.0,0
2.7,61.9,7.0,90.0,1
7.0,77.5,4.0,68.0,1
4.1,85.4,3.0,51.0,1
,72.8,8.0,94.0,1
4.5,80.9,8.0,67.0,1
2.7,66.2,6.0,56.0,0
2.0,87.6,7.0,91.0,1
3.5,51.0,1.0,45.0,0
2.8,99.8,1.0,42.0,0
5.4,79.9,9.0,81.0,1
8.8,75.8,0.0,83.0,1
7.4,54.4,6.0,39.0,1
1.4,52.9,5.0,56.0,0
6.0,51.9,10.0,65.0,1
5.3,68.2,7.0,37.0,1
2.4,59.9,5.0,55.0,0
3.2,68.9,9.0,61.0,1
5.5,58.7,7.0,80.0,1
6.2,65.6,4.0,72.0,1
2.2,51.5,9.0,51.0,0
5.1,88.4,5.0,74.0,1
4.5,89.9,10.0,34.0,1
2.9,92.6,5.0,67.0,1
5.1,84.5,5.0,92.0,1
4.9,56.4,6.0,74.0,1
9.9,64.9,1.0,83.0,1
7.3,98.7,3.0,89.0,1
2.0,74.9,5.0,60.0,0
3.9,86.3,7.0,59.0,1
6.4,65.0,1.0,44.0,1
7.4,97.4,2.0,39.0,1
3.7,57.4,7.0,40.0,0
6.6,73.2,4.0,75.0,1
2.1,54.0,2.0,51.0,0
,78.9,4.0,85.0,1
9.3,90.6,7.0,72.0,1
7.4,60.3,6.0,44.0,1
8.4,89.6,1.0,89.0,1
9.6,70.2,0.0,34.0,1
2.4,75.8,5.0,35.0,0
2.1,75.0,5.0,94.0,1
3.1,73.3,1.0,81.0,0
1.3,73.9,0.0,92.0,0
5.7,55.9,7.0,95.0,1
3.2,84.9,3.0,52.0,0
7.4,90.9,7.0,85.0,1
9.9,83.3,5.0,83.0,1
2.3,67.3,7.0,31.0,0
3.4,60.3,3.0,38.0,0
8.0,66.2,9.0,83.0,1
6.8,53.9,3.0,60.0,1
8.5,67.8,10.0,60.0,1
9.5,71.5,2.0,87.0,1
5.3,61.1,10.0,84.0,1
7.6,87.9,10.0,62.0,1
6.4,89.8,2.0,84.0,1
8.2,90.7,7.0,63.0,1
9.5,77.8,7.0,94.0,1
9.8,50.1,2.0,31.0,1
5.9,57.2,7.0,52.0,1
6.2,57.2,0.0,93.0,1
5.2,50.7,2.0,36.0,0
1.9,81.9,7.0,78.0,1
2.0,54.4,5.0,41.0,0
7.4,78.6,6.0,71.0,1
2.2,91.9,7.0,33.0,1
9.3,92.2,3.0,93.0,1
8.9,83.8,3.0,88.0,1
8.0,86.6,9.0,38.0,1
7.9,70.4,5.0,92.0,1
5.2,72.1,8.0,49.0,1
5.1,82.9,4.0,73.0,1
1.7,67.2,7.0,91.0,1
8.2,85.2,3.0,90.0,1
3.8,82.3,1.0,45.0,0
1.8,61.3,10.0,88.0,1
1.6,68.5,5.0,43.0,0
4.0,85.3,3.0,64.0,1
5.8,90.6,4.0,83.0,1
6.9,59.8,5.0,95.0,1
4.2,,4.0,77.0,1
3.5,78.0,10.0,34.0,1
3.4,71.0,2.0,95.0,1
6.8,82.1,3.0,61.0,1
3.3,65.6,9.0,68.0,1
-2.0,55.0,4.0,38.0,0
8.4,95.1,4.0,37.0,1
8.6,77.5,9.0,46.0,1
7.7,88.5,7.0,64.0,1
1.5,57.3,10.0,53.0,0
6.0,57.8,4.0,86.0,1
2.4,71.7,10.0,42.0,1
3.8,51.9,1.0,94.0,0
9.9,98.5,5.0,82.0,1
2.6,77.8,8.0,37.0,1
6.0,,7.0,65.0,1
5.5,77.5,2.0,39.0,1
9.8,93.3,8.0,58.0,1
6.0,83.4,0.0,69.0,1
3.7,54.3,0.0,64.0,0
7.6,50.8,9.0,46.0,1
9.6,92.6,7.0,82.0,1
7.7,68.1,0.0,43.0,1
5.6,80.9,2.0,76.0,1
7.9,84.3,9.0,59.0,1
7.6,99.3,1.0,75.0,1
9.7,71.5,1.0,85.0,1
1.9,96.5,10.0,44.0,1
2.3,74.0,9.0,55.0,1
9.2,62.6,6.0,64.0,1
5.2,88.3,1.0,83.0,1
-2.0,69.1,9.0,71.0,1
6.8,57.0,3.0,43.0,1
4.0,86.9,2.0,74.0,1
1.5,60.3,7.0,77.0,0
9.9,88.3,1.0,50.0,1
2.3,78.2,2.0,79.0,0
1.9,96.2,8.0,58.0,1
9.7,55.9,10.0,56.0,1
2.4,71.8,6.0,69.0,1
1.6,62.1,9.0,49.0,0
7.9,76.7,3.0,86.0,1
3.0,57.2,9.0,76.0,1
1.7,80.0,5.0,42.0,0
4.0,61.0,3.0,70.0,0
4.4,67.1,5.0,37.0,0
4.7,94.3,5.0,79.0,1
1.2,57.4,10.0,45.0,0
1.8,74.1,8.0,69.0,1
2.0,58.3,1.0,57.0,0
5.7,61.7,8.0,69.0,1
4.5,,4.0,81.0,1
5.1,81.9,1.0,30.0,0
2.1,87.2,5.0,53.0,0
7.8,,0.0,49.0,1
7.3,67.1,10.0,43.0,1
2.9,50.8,2.0,37.0,0
3.3,91.9,3.0,33.0,0
5.9,79.1,9.0,88.0,1
5.6,78.8,9.0,87.0,1
9.3,75.9,2.0,51.0,1
4.8,72.1,10.0,93.0,1
2.7,94.1,6.0,84.0,1
,59.1,4.0,45.0,0
8.3,99.1,3.0,47.0,1
3.2,64.7,2.0,34.0,0
2.1,85.9,8.0,64.0,1
2.1,58.1,1.0,67.0,0
5.4,88.5,8.0,42.0,1
1.3,67.8,1.0,31.0,0
7.0,79.0,3.0,83.0,1
9.6,65.6,0.0,93.0,1
5.0,97.8,7.0,36.0,1
5.6,68.3,9.0,31.0,1
2.2,97.7,7.0,53.0,1
6.9,79.6,5.0,53.0,1
5.5,98.2,2.0,86.0,1
3.2,97.8,4.0,59.0,1
2.2,59.4,5.0,56.0,0
7.9,77.3,8.0,56.0,1
6.7,87.2,4.0,87.0,1
8.1,54.6,10.0,66.0,1
3.3,70.8,2.0,50.0,0
9.3,53.6,10.0,93.0,1
7.7,55.4,7.0,37.0,1
8.6,67.6,,68.0,1
6.7,77.1,3.0,41.0,1
6.2,55.7,7.0,,1
9.5,73.9,2.0,89.0,1
3.5,86.9,3.0,88.0,1
6.7,56.7,2.0,45.0,1
9.0,57.6,0.0,42.0,1
3.8,52.0,4.0,36.0,0
4.6,95.8,5.0,50.0,1
5.3,93.1,8.0,88.0,1
5.1,55.1,5.0,55.0,1
1.2,96.4,4.0,55.0,0
7.1,53.2,5.0,58.0,1
1.0,65.3,3.0,49.0,0
1.7,55.0,6.0,84.0,0
5.1,95.5,2.0,34.0,1
3.5,82.7,4.0,50.0,1
5.6,94.0,6.0,78.0,1
3.8,70.9,1.0,51.0,0
2.7,67.2,10.0,49.0,1
9.8,52.6,10.0,48.0,1
6.4,52.2,9.0,38.0,1
9.4,99.6,8.0,78.0,1
7.6,59.5,9.0,94.0,1
1.1,89.7,3.0,63.0,0
1.9,89.3,1.0,93.0,1
6.9,77.1,4.0,72.0,1
7.0,93.4,8.0,65.0,1
5.9,97.9,1.0,88.0,1
5.2,82.5,2.0,38.0,1
4.4,87.9,2.0,72.0,1
,87.2,3.0,45.0,1
1.6,87.4,8.0,52.0,1
2.3,56.7,9.0,71.0,1
3.7,59.8,9.0,66.0,1
7.4,65.8,3.0,95.0,1
3.3,63.1,5.0,66.0,1
9.6,84.4,6.0,78.0,1
2.4,73.1,5.0,39.0,0
7.5,52.9,9.0,41.0,1
1.1,79.0,7.0,43.0,0
3.7,60.9,4.0,33.0,0
9.5,62.5,1.0,42.0,1
5.0,89.4,2.0,79.0,1
6.4,62.6,0.0,82.0,1
