tenure_months,monthly_charges,support_tickets,avg_session_minutes,late_payments,contract_months,target
1,117.18,4,28.91,4,52,0
22,217.22,5,32.87,4,17,0
23,124.93,2,32.3,3,33,1
58,436.97,3,10.49,3,31,0
15,77.61,4,29.95,6,50,0
13,62.54,2,47.13,2,41,1
3,398.35,3,66.33,2,38,1
7,110.17,0,62.76,5,9,1
40,400.98,7,2.0,3,57,0
23,274.76,1,54.2,4,19,1
38,57.36,6,34.3,2,11,0
7,96.87,2,12.51,1,24,1
46,153.63,2,29.86,2,29,0
17,127.19,3,60.35,0,43,1
4,183.46,3,38.09,1,55,1
55,96.67,3,25.65,6,28,0
22,139.85,0,18.84,4,5,1
20,299.18,2,30.36,4,27,1
3,377.3,2,28.33,3,47,1
36,85.37,3,14.59,3,31,0
17,126.17,2,2.0,6,15,0
15,135.81,1,14.43,5,35,1
41,57.69,2,39.48,3,55,1
41,286.17,1,2.0,3,6,0
9,220.37,4,13.88,2,31,1
8,213.78,3,81.94,6,58,1
15,137.39,1,44.81,5,37,0
48,272.93,3,72.32,2,16,1
16,291.31,2,54.83,2,21,1
26,334.29,1,55.42,6,2,0
8,131.75,4,49.55,4,32,1
12,189.53,3,23.37,2,38,0
40,113.05,4,39.14,0,45,1
46,118.39,6,65.18,2,1,1
52,295.02,7,40.13,3,11,0
34,154.1,2,28.48,2,24,1
17,133.28,3,33.14,3,18,1
27,226.39,5,64.16,4,13,0
10,236.48,2,8.11,2,54,1
15,87.53,0,72.71,2,7,1
29,94.31,5,29.08,2,39,1
47,244.35,2,30.58,3,28,1
16,214.49,3,24.76,3,18,0
22,128.16,3,37.76,2,24,0
3,342.78,6,36.34,3,36,1
3,138.46,2,42.82,1,27,1
33,38.4,5,26.02,1,20,0
58,85.02,5,11.46,3,55,0
35,52.86,5,20.99,3,31,0
2,330.94,2,13.88,3,56,1
35,211.38,2,5.04,4,57,1
8,161.27,2,43.26,5,36,1
42,29.3,2,43.47,2,27,1
28,52.77,5,2.0,3,32,0
22,133.55,0,10.33,4,25,0
13,42.69,3,55.08,3,33,1
11,286.94,3,45.45,3,31,1
21,138.09,2,59.74,3,30,0
28,134.27,2,15.89,5,29,1
35,141.97,5,2.0,3,15,0
42,76.32,5,2.0,4,10,0
58,71.51,1,40.63,5,8,0
2,39.29,4,7.13,3,55,0
57,150.87,2,63.93,7,27,1
34,197.23,1,34.17,4,37,1
5,125.67,2,42.77,1,40,1
53,121.78,3,46.87,1,45,1
52,76.86,5,56.29,4,7,0
18,176.88,3,36.77,2,1,1
11,26.68,3,42.18,3,4,0
19,68.5,3,2.0,7,10,0
49,93.61,4,11.17,3,13,0
56,103.97,3,43.21,3,59,1
18,172.87,4,37.13,3,6,1
29,129.71,4,26.33,3,12,0
44,165.48,2,18.54,1,4,1
11,354.97,3,48.45,1,14,1
44,387.79,4,38.69,2,31,0
14,233.53,8,26.52,0,33,0
52,355.68,5,75.5,5,53,1
9,498.07,4,28.26,2,33,1
59,192.35,2,19.79,2,59,0
44,55.77,3,59.01,1,1,1
17,299.97,1,15.09,4,8,0
49,73.96,8,20.07,3,49,1
38,546.37,2,41.68,4,28,1
29,496.47,3,68.37,7,37,1
45,103.26,1,25.18,8,18,0
42,68.73,2,2.0,2,6,1
5,91.65,2,58.01,6,20,0
14,141.8,4,33.97,3,37,1
40,363.9,3,54.03,1,59,1
25,62.5,7,44.66,5,42,0
20,275.15,4,60.6,6,33,1
33,34.86,7,36.88,2,43,0
10,347.09,1,2.0,6,37,1
59,142.11,2,32.69,5,3,0
33,170.69,5,66.0,4,29,1
1,137.79,5,70.25,6,14,0
28,285.72,3,58.84,3,46,1
45,192.47,3,39.1,1,32,0
35,483.74,2,12.25,4,18,1
31,42.8,3,65.96,1,58,1
39,78.76,1,13.7,5,19,0
2,57.85,1,34.92,3,41,1
30,245.29,4,29.55,3,13,1
25,45.54,4,44.95,5,33,1
55,813.8,1,46.69,2,23,1
36,158.27,3,92.38,2,57,0
11,349.09,1,65.7,5,33,1
52,75.46,6,33.07,3,30,0
18,170.28,2,28.83,3,43,0
60,229.75,9,10.49,1,30,0
22,90.52,3,50.52,5,7,0
51,126.54,5,2.0,1,15,0
47,441.49,4,3.65,3,36,1
44,360.13,0,32.4,5,11,0
40,222.58,1,39.04,3,5,0
2,589.9,4,25.99,3,58,1
13,38.01,5,48.1,9,12,0
53,181.97,4,25.94,3,21,0
45,113.64,6,64.06,6,1,0
28,402.07,3,44.05,2,18,1
47,322.76,2,26.74,1,16,0
40,336.5,3,16.06,4,43,1
47,97.73,5,71.4,4,30,1
32,219.88,3,25.34,7,47,1
5,316.14,1,3.03,1,26,1
25,368.01,8,48.18,3,16,1
13,77.6,4,22.84,4,42,1
52,91.99,1,83.14,8,8,0
54,176.2,3,24.22,0,9,0
13,394.02,3,7.25,2,39,0
53,229.11,1,3.42,1,41,0
20,388.8,4,2.0,8,59,0
13,37.84,3,49.83,5,3,1
17,122.71,4,73.65,1,27,1
34,210.44,1,40.14,1,14,0
15,179.24,3,29.15,7,33,1
16,39.49,3,12.85,5,48,0
42,320.74,3,50.88,3,40,1
25,189.0,3,9.19,5,39,1
42,107.07,1,23.11,4,17,0
2,343.24,1,28.34,6,54,1
6,44.23,4,57.75,5,20,0
17,103.76,1,50.64,1,23,1
22,275.57,2,64.36,2,52,1
17,193.1,4,82.44,5,40,1
24,126.81,1,31.87,3,43,0
56,133.27,2,75.98,1,36,1
28,126.03,6,67.57,3,41,0
36,272.34,0,40.8,3,21,1
48,119.94,3,65.27,4,12,1
11,238.54,1,57.1,1,52,1
9,34.43,4,70.5,2,13,0
26,350.93,4,2.0,5,43,1
38,819.82,3,16.53,4,45,1
30,210.56,5,8.65,0,49,1
8,139.69,2,41.34,5,21,1
39,102.05,2,40.7,3,21,0
56,242.22,2,9.55,0,59,1
32,94.15,2,21.4,0,49,1
54,83.67,5,38.12,1,54,0
26,33.44,5,31.91,4,12,0
25,175.88,2,35.18,2,3,0
19,121.08,1,26.69,0,38,0
32,125.82,2,10.39,1,11,1
35,148.17,1,47.51,4,4,1
7,90.41,3,7.78,4,18,0
59,169.21,3,51.22,4,51,1
10,69.69,5,39.57,1,12,0
34,136.9,4,54.05,1,39,0
19,121.88,5,53.24,6,51,0
54,44.89,2,4.2,2,15,1
39,63.54,4,9.93,5,18,0
1,98.03,4,2.0,2,51,0
2,100.11,3,4.68,0,41,1
13,177.94,0,12.04,4,45,1
50,111.78,0,51.8,2,9,1
52,143.19,3,45.29,3,3,0
34,111.48,2,2.0,5,12,0
35,24.21,5,49.54,3,11,0
39,136.13,1,21.98,4,16,0
30,82.31,2,38.31,2,25,1
31,132.7,5,35.31,5,42,0
23,86.81,2,28.76,4,9,0
30,234.86,4,58.81,1,50,1
18,143.72,2,4.42,1,36,1
45,243.66,4,46.24,1,47,1
41,256.46,7,62.41,1,18,0
44,99.82,3,26.85,4,53,0
22,262.62,1,22.04,0,37,1
24,174.18,1,14.96,4,1,0
27,70.77,2,39.02,1,49,1
37,136.84,4,41.55,3,13,1
47,158.51,2,40.7,2,38,1
1,361.02,0,2.0,2,46,1
57,116.28,0,67.85,5,13,0
52,445.68,5,52.5,1,23,1
60,254.4,4,30.94,6,47,0
17,33.79,2,45.64,0,36,0
30,71.89,2,7.13,4,34,0
33,223.76,1,42.81,0,37,1
9,53.58,2,19.6,3,39,1
22,207.13,3,42.22,1,11,1
2,390.66,3,13.06,1,4,1
8,123.01,3,25.13,2,50,0
30,397.58,3,44.78,3,34,0
19,374.94,4,23.24,4,59,1
5,142.67,3,37.91,2,48,1
51,144.99,5,32.58,1,17,0
8,168.49,5,60.82,1,28,0
14,202.64,2,51.02,1,35,1
15,49.89,4,38.53,2,32,1
31,134.1,5,80.66,5,1,0
60,46.0,3,41.9,2,26,0
2,116.56,5,22.69,1,8,0
10,127.28,1,70.09,3,15,1
20,41.59,3,27.02,0,44,1
7,61.28,2,27.38,5,32,1
1,112.32,8,14.55,5,38,0
55,673.33,2,31.77,2,40,1
14,56.22,2,49.65,1,3,0
38,161.93,4,2.0,4,51,0
54,79.4,2,32.25,3,35,1
45,114.15,3,2.5,3,7,0
3,295.78,6,61.8,5,12,1
22,184.44,2,35.11,9,13,0
4,199.95,3,62.5,3,36,1
57,208.96,4,32.28,2,10,0
28,222.04,4,2.0,0,26,0
59,32.68,3,25.14,2,58,0
25,194.46,4,103.35,2,11,0
34,139.83,2,35.09,5,17,0
4,196.02,4,56.48,2,19,1
60,266.52,1,17.05,2,9,1
52,198.53,3,26.19,3,49,0
31,240.63,3,52.14,7,19,0
14,65.36,2,61.35,5,55,0
27,203.05,6,57.09,3,54,1
27,137.48,1,13.31,4,24,0
48,139.69,4,2.0,4,53,0
18,368.74,1,4.3,3,11,1
39,105.42,4,18.73,2,28,0
49,93.07,2,26.14,3,22,1
13,59.18,3,44.03,2,22,0
47,120.67,4,2.0,0,57,1
31,314.03,3,4.54,1,42,0
13,46.18,5,38.93,2,16,0
1,176.95,3,34.21,5,7,1
54,25.21,2,26.12,4,35,0
53,91.54,0,70.03,2,43,1
4,201.59,1,12.72,3,22,0
33,101.8,2,51.61,6,16,0
6,63.98,2,36.34,3,7,1
3,114.69,7,27.04,5,57,0
4,296.6,2,17.07,4,28,0
57,421.73,1,2.0,3,10,0
31,427.75,2,7.31,3,10,0
60,239.27,6,26.31,2,24,0
47,191.03,4,16.24,5,60,0
45,295.92,4,17.7,2,35,0
7,66.06,5,30.69,3,57,0
26,75.31,5,59.06,3,39,0
34,366.53,5,43.52,5,54,0
36,270.26,5,34.22,7,6,0
9,273.84,4,13.25,3,50,0
1,173.34,4,28.48,3,59,0
37,83.3,6,39.41,3,22,0
7,69.68,4,18.39,4,13,0
57,286.18,1,42.68,2,30,0
20,316.71,4,33.1,1,15,1
56,67.74,4,44.98,2,11,0
25,88.44,7,93.31,7,23,0
26,138.1,1,38.73,3,18,0
46,273.76,3,42.05,2,27,1
54,116.94,3,26.69,2,4,0
11,81.73,3,50.21,2,1,1
27,296.45,1,19.08,5,50,0
7,225.45,2,36.46,6,9,1
43,91.29,2,2.0,1,20,0
42,93.55,4,69.33,7,44,1
9,322.78,2,55.55,2,48,0
54,60.55,4,13.34,8,35,0
59,120.9,3,66.11,2,48,1
53,203.27,3,39.85,4,8,1
49,166.51,2,47.53,1,32,0
45,284.46,3,37.96,3,31,1
17,44.8,5,29.74,6,36,0
60,150.25,2,51.26,3,13,1
19,183.24,2,26.62,2,17,0
32,187.45,1,12.13,6,19,1
43,222.26,4,60.64,3,2,0
47,65.57,2,32.7,3,55,1
20,408.14,4,52.23,2,56,1
26,203.94,7,33.21,2,27,0
29,219.74,3,51.96,2,53,1
22,99.11,4,2.0,2,11,0
20,168.43,0,49.83,4,12,1
55,376.65,4,43.31,5,7,1
15,146.84,2,17.33,1,30,0
26,170.16,5,48.31,3,10,1
9,185.25,4,48.36,2,10,1
45,47.32,5,36.4,1,39,0
49,131.53,2,51.36,5,36,1
30,241.08,3,19.6,3,32,1
4,105.43,3,15.61,2,42,0
7,144.1,3,4.95,3,44,1
16,145.05,3,45.34,4,53,0
8,49.11,2,39.23,2,34,0
14,260.61,2,2.0,4,55,1
31,57.52,2,48.16,0,6,0
36,199.51,0,53.02,4,58,1
43,135.16,0,74.65,5,49,1
56,116.89,2,34.42,2,46,0
45,155.52,4,66.67,6,30,0
29,251.53,1,3.75,3,11,1
21,262.28,2,59.71,3,5,0
53,109.81,5,54.99,3,2,0
1,132.27,3,30.44,2,13,0
44,81.32,0,51.35,2,30,0
33,53.35,7,2.0,3,2,0
30,288.78,2,37.21,5,5,1
12,68.85,4,43.58,6,28,0
18,88.7,6,37.03,1,6,0
20,193.56,2,51.72,2,32,1
3,57.78,4,51.0,6,21,0
34,207.69,3,6.3,2,45,1
35,82.22,3,44.38,2,53,1
24,66.99,1,21.19,2,58,0
55,98.84,3,58.82,3,8,0
28,81.8,2,41.17,5,4,0
5,175.08,3,55.47,6,52,1
4,400.49,5,85.08,1,47,1
23,237.9,5,60.77,2,57,1
11,205.5,3,2.0,5,19,0
52,96.47,5,12.03,4,54,1
51,125.36,3,36.24,4,41,0
58,158.33,2,42.55,4,41,1
31,140.74,2,38.65,2,26,0
30,161.94,0,34.75,1,44,1
54,63.1,4,53.55,6,33,0
39,501.49,3,19.78,3,3,0
52,56.85,5,44.46,8,35,0
12,130.39,3,27.54,7,31,0
12,257.38,3,57.63,3,23,1
4,85.5,8,40.23,2,33,0
24,300.32,3,14.48,2,48,1
48,53.57,2,14.52,4,30,1
32,85.42,4,76.3,4,19,0
33,27.69,8,49.07,9,35,0
6,295.77,3,51.53,3,45,1
8,62.13,5,25.88,2,33,0
6,88.16,0,28.02,1,42,1
23,244.31,6,2.0,3,3,0
51,181.59,1,51.36,2,52,1
45,300.32,4,35.45,3,22,0
50,224.16,2,59.29,2,40,0
18,265.69,3,63.01,2,1,1
23,101.66,2,38.07,1,39,1
58,133.96,3,44.16,3,34,1
43,238.47,5,57.94,2,15,1
42,240.7,0,27.79,4,18,1
32,275.51,5,53.48,1,4,1
7,83.13,2,2.0,3,44,0
45,65.96,2,47.07,5,27,1
23,59.02,4,29.78,1,28,1
19,101.98,3,38.34,2,13,0
44,132.32,6,14.31,4,27,0
29,61.6,7,18.27,5,49,0
11,124.85,3,22.51,3,28,0
54,220.92,0,34.51,2,39,1
24,283.73,2,18.19,3,30,1
49,94.13,2,4.56,2,21,0
25,211.29,3,75.56,4,50,1
19,58.11,1,47.33,1,4,0
49,89.44,2,16.0,2,17,0
53,152.96,5,27.4,3,42,1
19,90.34,1,32.83,4,32,1
24,82.31,5,43.7,2,45,1
34,171.28,5,15.33,4,25,0
41,70.93,3,20.06,3,17,0
31,153.39,3,49.75,4,44,0
43,131.67,4,89.0,2,2,0
50,202.58,0,49.63,0,46,1
25,240.62,1,35.72,5,15,0
51,155.71,3,8.28,6,54,0
50,100.16,3,47.35,2,34,0
59,287.08,8,13.28,3,7,0
28,162.69,3,54.8,4,56,1
51,76.54,1,31.42,3,15,1
58,159.89,2,20.27,1,54,1
57,92.28,6,59.96,3,56,1
57,24.19,4,31.4,4,47,0
24,72.4,3,22.05,2,40,0
55,108.65,1,35.43,4,35,0
27,102.8,2,80.7,5,49,1
55,48.26,5,44.11,2,15,0
49,110.88,3,39.23,4,15,0
9,190.94,2,2.0,5,19,0
8,63.77,2,69.24,2,19,1
39,169.49,7,8.1,7,54,0
15,34.28,3,37.16,4,25,0
45,201.67,4,30.17,4,32,0
47,95.25,3,34.6,3,60,1
32,55.41,4,35.09,2,46,0
47,307.49,2,5.91,2,56,0
32,195.9,3,31.48,2,43,0
35,274.87,3,14.72,3,47,1
13,175.67,5,9.48,6,16,0
36,180.23,2,29.68,4,56,0
10,108.07,2,55.44,5,9,0
38,189.86,4,40.58,6,54,1
47,133.26,4,19.14,5,44,1
47,90.38,1,54.64,8,3,0
9,123.77,4,70.15,5,5,1
48,57.93,2,6.87,2,36,0
44,138.65,5,6.12,1,25,1
9,191.93,5,70.74,7,55,1
5,153.95,2,22.31,3,1,0
40,209.72,1,52.51,3,34,0
25,113.61,3,20.04,1,46,1
30,144.39,1,42.33,3,15,1
2,143.91,4,48.5,2,16,1
15,541.48,3,7.22,0,45,1
40,56.98,3,59.69,5,18,1
38,575.99,5,19.69,4,15,0
18,84.95,1,34.98,2,39,0
21,111.73,2,26.32,7,38,0
29,171.3,3,43.75,2,59,1
21,211.37,7,45.98,3,55,1
18,138.61,2,17.59,3,1,0
19,164.85,9,59.13,5,3,0
31,372.12,2,29.67,3,21,0
34,861.5,5,42.85,3,47,1
40,188.09,3,48.42,2,41,1
15,229.61,6,27.88,1,14,1
11,132.15,4,35.05,5,22,1
19,448.32,2,52.76,3,34,1
47,130.92,5,6.71,2,3,0
51,201.67,4,29.73,2,25,0
47,68.63,11,77.94,1,9,0
24,22.39,3,23.1,6,31,0
57,684.54,0,67.95,9,32,1
35,297.35,5,60.41,3,18,1
23,267.98,1,59.3,7,55,1
36,74.41,3,55.36,2,26,0
53,45.87,5,33.18,4,6,0
27,120.43,5,41.6,1,52,1
6,154.08,1,67.34,4,45,1
19,234.18,3,5.23,1,59,0
60,143.19,3,63.9,2,18,0
28,345.09,8,30.01,4,36,0
13,180.77,2,70.82,4,49,1
53,176.14,4,69.72,4,42,1
23,318.03,4,51.55,0,42,1
20,89.52,0,56.69,3,30,1
6,185.63,7,22.74,1,26,0
57,96.8,4,51.1,3,36,0
51,89.1,1,45.14,1,21,1
24,405.39,0,53.29,4,46,1
30,303.19,1,67.68,2,33,1
16,206.23,2,34.86,4,7,0
58,352.33,3,22.15,1,32,1
56,184.66,2,34.45,4,10,1
9,363.49,3,40.78,1,7,1
15,79.31,6,27.72,1,36,0
54,128.83,2,44.41,4,14,0
14,185.92,1,44.58,4,27,0
22,71.07,5,31.05,4,41,0
49,89.64,2,63.31,4,36,1
15,60.48,5,17.07,3,2,0
51,228.27,7,50.64,2,27,1
40,103.69,2,43.26,1,44,1
12,172.19,2,27.96,2,44,0
2,205.45,4,46.39,2,33,0
11,128.2,1,2.0,4,43,1
32,145.33,1,42.7,4,52,1
58,157.3,3,45.43,5,9,0
29,191.97,0,33.57,2,47,1
8,361.79,2,34.66,1,54,1
3,66.96,0,15.96,3,58,1
12,152.29,2,10.42,5,31,1
27,62.52,3,11.45,3,33,0
27,389.13,4,29.98,4,55,0
19,40.45,8,2.0,1,47,0
38,160.58,4,19.41,2,23,0
